342, 63, 54, 46, 38, 4, 17, 8, 23, 6, 
355, 31, 52, 42, 50, 4, 17, 10, 23, 35, 
345, 63, 52, 14, 54, 4, 17, 11, 23, 35, 
342, 63, 54, 47, 54, 4, 17, 10, 23, 34, 
342, 63, 54, 46, 54, 5, 17, 14, 15, 18, 
342, 63, 54, 44, 34, 4, 17, 8, 23, 14, 
342, 55, 60, 34, 54, 4, 17, 10, 23, 35, 
342, 63, 54, 44, 34, 4, 21, 8, 23, 7, 
342, 63, 54, 45, 54, 4, 49, 8, 23, 14, 
342, 63, 54, 44, 51, 4, 49, 10, 23, 14, 
342, 63, 54, 47, 54, 4, 17, 10, 23, 18, 
348, 55, 60, 48, 54, 4, 17, 10, 23, 6, 
343, 47, 38, 44, 51, 4, 17, 2, 23, 18, 
342, 55, 60, 34, 54, 4, 49, 10, 23, 30, 
342, 55, 60, 34, 22, 4, 49, 10, 7, 14, 
342, 63, 54, 45, 54, 4, 49, 8, 23, 14, 
351, 23, 61, 39, 52, 4, 49, 10, 19, 14, 
348, 55, 62, 48, 54, 4, 17, 6, 22, 2, 
348, 47, 52, 44, 35, 4, 17, 10, 23, 7, 
348, 55, 60, 48, 54, 4, 49, 10, 23, 30, 
347, 45, 60, 34, 54, 4, 1, 10, 31, 63, 
364, 39, 52, 44, 50, 4, 49, 10, 23, 22, 
353, 55, 57, 44, 54, 0, 49, 2, 16, 10, 
351, 23, 61, 39, 52, 4, 49, 10, 22, 2, 
351, 23, 61, 39, 52, 4, 17, 10, 27, 63, 
348, 37, 60, 34, 54, 4, 48, 10, 19, 14, 
369, 39, 52, 44, 50, 4, 17, 8, 27, 63, 
364, 39, 52, 44, 52, 4, 49, 10, 22, 2, 
364, 39, 52, 44, 50, 4, 53, 10, 18, 2, 
351, 23, 60, 45, 54, 4, 33, 10, 23, 62, 
351, 23, 61, 39, 52, 4, 33, 10, 18, 42, 
372, 37, 52, 44, 52, 4, 49, 10, 18, 42, 
364, 39, 52, 44, 52, 4, 49, 10, 22, 2, 
364, 39, 52, 44, 52, 4, 49, 10, 22, 2, 
363, 39, 60, 44, 52, 4, 49, 10, 22, 34, 
362, 38, 52, 44, 50, 4, 53, 10, 23, 62, 
372, 37, 60, 44, 52, 4, 48, 10, 18, 42, 
372, 37, 60, 44, 52, 4, 49, 10, 22, 42, 
369, 37, 52, 44, 52, 4, 17, 10, 20, 0, 
369, 39, 52, 44, 52, 4, 17, 10, 22, 2, 
369, 39, 52, 44, 48, 4, 17, 10, 23, 38, 
372, 37, 60, 44, 52, 4, 48, 10, 26, 42, 
372, 37, 52, 44, 52, 4, 49, 10, 22, 42, 
369, 37, 60, 44, 60, 4, 36, 10, 18, 34, 
369, 37, 60, 44, 52, 4, 17, 10, 23, 6, 
369, 37, 52, 44, 48, 4, 17, 10, 19, 10, 
372, 37, 60, 44, 52, 4, 48, 10, 10, 42, 
372, 37, 60, 44, 60, 4, 57, 10, 22, 42, 
369, 37, 52, 44, 52, 4, 32, 10, 16, 42, 
369, 37, 52, 44, 60, 4, 36, 10, 18, 2, 
369, 37, 61, 44, 60, 4, 36, 10, 2, 38, 
372, 37, 52, 44, 60, 4, 48, 10, 18, 42, 
372, 37, 60, 44, 60, 4, 57, 10, 52, 34, 
372, 37, 52, 44, 60, 4, 52, 10, 22, 34, 
372, 37, 60, 44, 62, 4, 50, 10, 16, 34, 
372, 37, 52, 44, 60, 4, 52, 10, 2, 38, 
372, 37, 52, 44, 62, 4, 48, 10, 23, 42, 
372, 37, 60, 44, 62, 4, 50, 8, 16, 34, 
372, 37, 60, 44, 60, 4, 58, 10, 20, 34, 
372, 37, 60, 44, 60, 4, 57, 10, 51, 46, 
372, 37, 52, 44, 62, 4, 50, 10, 17, 38, 
372, 37, 52, 44, 62, 4, 49, 10, 51, 46, 
372, 37, 60, 44, 62, 4, 50, 8, 4, 34, 
372, 37, 60, 44, 46, 4, 57, 10, 51, 46, 
372, 37, 56, 44, 60, 4, 51, 10, 50, 46, 
372, 37, 52, 44, 58, 4, 58, 10, 16, 46, 
372, 37, 60, 44, 62, 4, 49, 10, 49, 46, 
372, 37, 60, 44, 46, 4, 49, 10, 50, 46, 
372, 37, 60, 44, 46, 4, 57, 10, 16, 46, 
